0.513768, 0.738542, -0.073395, 
0.504594, 0.651385, -0.128442, 
0.509181, 0.678908, -0.068808, 
0.486245, 0.564228, -0.091744, 
0.504594, 0.623861, -0.137616, 
0.504594, 0.587164, -0.128442, 
0.509181, 0.504594, -0.055047, 
0.334867, 0.500006, 0.050459, 
0.509181, 0.444960, -0.036698, 
0.504594, 0.412849, -0.036698, 
0.509181, 0.284407, -0.004587, 
0.513768, 0.752303, -0.068808, 
0.513768, 0.761478, -0.059634, 
0.518355, 0.766065, -0.050459, 
0.513768, 0.756891, -0.055047, 
0.513768, 0.766065, -0.059634, 
0.518355, 0.775239, -0.068808, 
0.518355, 0.789001, -0.068808, 
0.518355, 0.821112, -0.045872, 
0.509181, 0.665146, -0.119268, 
0.486245, 0.660559, -0.082570, 
0.247710, 0.403675, 0.174314, 
0.408262, 0.522943, 0.018349, 
0.385326, 0.522943, 0.022936, 
0.357803, 0.522943, 0.032111, 
0.325692, 0.509181, 0.050459, 
0.426611, 0.513768, 0.022936, 
0.371564, 0.458722, 0.013762, 
0.399088, 0.458722, 0.013762, 
0.348628, 0.463309, 0.022936, 
0.334867, 0.467896, 0.032111, 
0.307343, 0.522943, 0.064221, 
0.426611, 0.871571, -0.013762, 
0.325692, 0.490832, 0.055047, 
0.238535, 0.513768, 0.178901, 
0.279820, 0.509181, 0.091744, 
0.385326, 0.628448, -0.009174, 
0.481658, 0.733954, -0.068808, 
0.490832, 0.756891, -0.055047, 
0.454134, 0.743129, -0.055047, 
0.435785, 0.747716, -0.036698, 
0.467896, 0.761478, -0.045872, 
0.449547, 0.761478, -0.032111, 
0.408262, 0.784414, -0.004587, 
0.486245, 0.646797, -0.128442, 
0.481658, 0.623861, -0.133029, 
0.293582, 0.444960, 0.041285, 
0.435785, 0.564228, -0.009174, 
0.431198, 0.642210, -0.064221, 
0.431198, 0.628448, -0.055047, 
0.316518, 0.623861, 0.027523, 
0.481658, 0.591751, -0.119268, 
0.348628, 0.417437, 0.000000, 
0.316518, 0.426611, 0.018349, 
0.270646, 0.357803, 0.128442, 
0.454134, 0.440373, -0.027523, 
0.422024, 0.467896, 0.018349, 
0.385326, 0.761478, 0.004587, 
0.266058, 0.761478, 0.224774, 
0.449547, 0.655972, -0.055047, 
0.467896, 0.665146, -0.059634, 
0.417437, 0.761478, 0.000000, 
0.426611, 0.761478, -0.004587, 
0.302756, 0.408262, 0.032111, 
0.431198, 0.651385, -0.050459, 
0.394501, 0.417437, -0.018349, 
0.389913, 0.399088, -0.018349, 
0.366977, 0.298169, 0.032111, 
